year,region,week,production_tons
1984,Penn-Anthracite,23,79778
1984,Penn-Bituminous,23,1750529
1984,Penn-Total,23,1830307
1984,Tennessee,23,147563
1984,Texas,23,849668
1984,US Total,23,18892550
1984,Utah,23,251675
1984,Virginia,23,921274
1984,Washington,23,84357
1984,West of Mississippi,23,5989851
1984,West_Virginia,23,2747844
1984,Western,23,4856684
1984,Wyoming,23,2483622
1984,Alabama,24,581561
1984,Alaska,24,15003
1984,Appalachia,24,9791512
1984,Arizona,24,245634
1984,Arkansas,24,2279
1984,Colorado,24,382920
1984,East of Mississippi,24,12803996
1984,Georgia,24,3601
1984,Illinois,24,1340715
1984,Indiana,24,758484
1984,Interior,24,4121657
1984,Iowa,24,12095
1984,Kansas,24,25775
1984,Kentucky-East,24,2704663
1984,Kentucky-Total,24,3617948
1984,Kentucky-West,24,913285
1984,Maryland,24,88540
1984,Missouri,24,145499
1984,Montana,24,481616
1984,New_Mexico,24,435040
1984,North_Dakota,24,313369
1984,Ohio,24,800753
1984,Oklahoma,24,89463
1984,Penn-Anthracite,24,72287
1984,Penn-Bituminous,24,1629922
1984,Penn-Total,24,1702209
1984,Tennessee,24,155447
1984,Texas,24,834062
1984,US Total,24,18306720
1984,Utah,24,254673
1984,Virginia,24,968403
1984,Washington,24,73803
1984,West of Mississippi,24,5502724
1984,West_Virginia,24,2786335
1984,Western,24,4393551
1984,Wyoming,24,2191493
1984,Alabama,25,599481
1984,Alaska,25,15040
1984,Appalachia,25,9991270
1984,Arizona,25,246239
1984,Arkansas,25,2508
1984,Colorado,25,372241
1984,East of Mississippi,25,13074298
1984,Georgia,25,3609
1984,Illinois,25,1398695
1984,Indiana,25,777556
1984,Interior,25,4194878
1984,Iowa,25,12125
1984,Kansas,25,24620
1984,Kentucky-East,25,2685391
1984,Kentucky-Total,25,3592168
1984,Kentucky-West,25,906777
1984,Maryland,25,93380
1984,Missouri,25,149219
1984,Montana,25,460021
1984,New_Mexico,25,352237
1984,North_Dakota,25,300446
1984,Ohio,25,842162
1984,Oklahoma,25,87264
1984,Penn-Anthracite,25,72465
1984,Penn-Bituminous,25,1789070
1984,Penn-Total,25,1861535
1984,Tennessee,25,161293
1984,Texas,25,836114
1984,US Total,25,18406112
1984,Utah,25,255314
1984,Virginia,25,991651
1984,Washington,25,73984
1984,West of Mississippi,25,5331814
1984,West_Virginia,25,2752768
1984,Western,25,4219964
1984,Wyoming,25,2144442
1984,Alabama,26,491065
1984,Alaska,26,13469
1984,Appalachia,26,7806947
1984,Arizona,26,220526
1984,Arkansas,26,2517
1984,Colorado,26,428726
1984,East of Mississippi,26,10579451
1984,Georgia,26,3233
1984,Illinois,26,1394467
1984,Indiana,26,634712
1984,Interior,26,3745931
1984,Iowa,26,10859
1984,Kansas,26,28732
1984,Kentucky-East,26,2201333
1984,Kentucky-Total,26,2944658
1984,Kentucky-West,26,743325
1984,Maryland,26,80988
1984,Missouri,26,82916
1984,Montana,26,536882
1984,New_Mexico,26,471988
1984,North_Dakota,26,339723
1984,Ohio,26,615979
1984,Oklahoma,26,99598
1984,Penn-Anthracite,26,64898
1984,Penn-Bituminous,26,1406356
1984,Penn-Total,26,1471254
1984,Tennessee,26,130042
1984,Texas,26,748805
1984,US Total,26,16377994
1984,Utah,26,287591
1984,Virginia,26,582189
1984,Washington,26,66259
1984,West of Mississippi,26,5798543
1984,West_Virginia,26,2230864
1984,Western,26,4825116
1984,Wyoming,26,2459952
1984,Alabama,27,362119
1984,Alaska,27,8642
1984,Appalachia,27,5062400
1984,Arizona,27,165775
1984,Arkansas,27,1310
1984,Colorado,27,315024
1984,East of Mississippi,27,7135475
1984,Georgia,27,1584
1984,Illinois,27,983184
1984,Indiana,27,569065
1984,Interior,27,2835221
1984,Iowa,27,6958
1984,Kansas,27,25471
1984,Kentucky-East,27,1572781
1984,Kentucky-Total,27,2093607
1984,Kentucky-West,27,520826
1984,Maryland,27,44082
1984,Missouri,27,43432
1984,Montana,27,728808
1984,New_Mexico,27,341826
1984,North_Dakota,27,440191
1984,Ohio,27,410081
1984,Oklahoma,27,103242
1984,Penn-Anthracite,27,69240
1984,Penn-Bituminous,27,868267
1984,Penn-Total,27,937507
1984,Tennessee,27,90739
1984,Texas,27,581733
1984,US Total,27,12795591
1984,Utah,27,228122
1984,Virginia,27,316083
1984,Washington,27,48177
1984,West of Mississippi,27,5660116
1984,West_Virginia,27,1327424
1984,Western,27,4897970
1984,Wyoming,27,2621405
1984,Alabama,28,498639
1984,Alaska,28,11404
1984,Appalachia,28,8256614
1984,Arizona,28,218759
1984,Arkansas,28,1407
1984,Colorado,28,278531
1984,East of Mississippi,28,10832013
